MARKER NAME,MARKER DESCRIPTION,HYPERLINK,GEOMETRY
USS Kidd Veterans Museum & Ship,"Historical Marker erected by Downtown Development District

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=117133"">this *",,POINT (-91.190195166097 30.444015712805)
Marcha de Galvez,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85223"">this link</a>",,POINT (-91.188561935972 30.446513484007)
Distinguished Cadets,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=104463"">this link</a>",,POINT (-91.181941932828 30.409987476229)
Blacksmith Shop,"Historical Marker No. 25 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112712"">this l*",,POINT (-91.115126264324 30.410688588897)
St. James Episcopal Church,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88274"">this link</a>",,POINT (-91.1868659359 30.448380484494)
Greg Jackson,"Historical Marker erected by James and Kelly Flavin

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106037"">this link</a>",,POINT (-91.185223133474 30.412039646261)
First United Methodist Church,"Historical Marker erected 2009 by First United Methodist Church

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87270"">t*",,POINT (-91.180672933526 30.447058484319)
Kyle Williams,"Historical Marker erected by Ricky Caples & Eric Geist Families

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106612"">*",,POINT (-91.184810073983 30.411195646452)
Stories of City Park,"Historical Marker erected by The Recreation and Park Commission for the Parish of East Baton Rouge (BREC)

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https*",,POINT (-91.167874930449 30.434681481628)
Civil War Battle,"Historical Marker erected by City Of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=86585"">this link</a>",,POINT (-91.169017930535 30.442985483618)
LSU Former Campus,"Historical Marker No. 10

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87429"">this link</a>",,POINT (-91.186983936198 30.454566485233)
Pentagon Barracks,"Historical Marker No. 4

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=87472"">this link</a>",,POINT (-91.188702936901 30.454804485791)
Bagatelle Kitchen,"Historical Marker No. 8 erected by LSU Rural Life Museum

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=112095"">this li*",,POINT (-91.115476294508 30.410400708646)
Bert Jones,"Historical Marker erected by Harry and Eugenie Burglass

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105030"">this lin*",,POINT (-91.185225814022 30.412070716277)
Flag of the Confederate States of America,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=91827"">this link</a>",,POINT (-91.188605935778 30.445547483582)
Louisiana Vietnam War Memorial,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=96565"">this link</a>",,POINT (-91.190287936023 30.443961483611)
"Battle Of Baton Rouge, 1862","Historical Marker erected by City Of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85663"">this link</a>",,POINT (-91.188451936546 30.455771485705)
Site of the Weiss House,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=88591"">this link</a>",,POINT (-91.185351935475 30.455768485809)
Max Fugler,"Historical Marker erected by The Helmer and Childress Families

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=100630"">t*",,POINT (-91.18524293407 30.41211747625)
Town Of Baker,"Historical Marker erected by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=91989"">this link</a>",,POINT (-91.167279936895 30.591678515224)
David LaFleur,"Historical Marker erected by Rebecca, Wes & Charlotte Robinson

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=106085"">t*",,POINT (-91.185217773782 30.412033096509)
Mike Anderson,"Historical Marker erected by Ron & Jan Cazalot and Family.

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=105003"">this *",,POINT (-91.185232523991 30.412075626643)
Merci Train,"Historical Marker

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=92828"">this link</a>",,POINT (-91.188755936417 30.446935484124)
The Founding Of Baton Rouge,"Historical Marker erected 1967 by City of Baton Rouge

<br/><br/>Source: HMdb.org. For text, photographs and other information, use <a href=""https://www.hmdb.org/marker.asp?marker=85221"">this link</*",,POINT (-91.189278936435 30.446762483958)
